feature,feature_name,max_abs_weight_score
F889,feature_889,0.2392139434814453
F658,feature_658,0.23143087327480316
F547,feature_547,0.22005698084831238
F98,feature_98,0.21581986546516418
F134,feature_134,0.2147195190191269
F332,feature_332,0.2132684886455536
F962,feature_962,0.21267926692962646
F735,feature_735,0.20983140170574188
F173,feature_173,0.20841775834560394
F201,feature_201,0.20691339671611786
F938,feature_938,0.20635028183460236
F221,feature_221,0.20406091213226318
F84,feature_84,0.2018771767616272
F118,feature_118,0.20062780380249023
F509,feature_509,0.20048436522483826
F629,feature_629,0.19779764115810394
F593,feature_593,0.1974431723356247
F93,feature_93,0.19584302604198456
F89,feature_89,0.19582657516002655
F522,feature_522,0.19393673539161682
F94,feature_94,0.19356407225131989
F886,feature_886,0.19350725412368774
F902,feature_902,0.1932387501001358
F220,feature_220,0.1923474371433258
F127,feature_127,0.19184216856956482
F41,feature_41,0.19151026010513306
F231,feature_231,0.1911487579345703
F589,feature_589,0.18907971680164337
F133,feature_133,0.1882316619157791
F224,feature_224,0.18817120790481567
F206,feature_206,0.1878046691417694
F106,feature_106,0.18772156536579132
F336,feature_336,0.1876186728477478
F483,feature_483,0.18646129965782166
F149,feature_149,0.1860376000404358
F409,feature_409,0.18584413826465607
F595,feature_595,0.1852080225944519
F622,feature_622,0.18364137411117554
F303,feature_303,0.18331493437290192
F262,feature_262,0.1832149177789688
F636,feature_636,0.1830277442932129
F784,feature_784,0.182643860578537
F180,feature_180,0.1825462430715561
F694,feature_694,0.1818455308675766
F396,feature_396,0.18181651830673218
F545,feature_545,0.18165861070156097
F854,feature_854,0.18085898458957672
F753,feature_753,0.1805080771446228
F376,feature_376,0.18021434545516968
F76,feature_76,0.17964014410972595
F541,feature_541,0.1796269416809082
F79,feature_79,0.17917560040950775
F440,feature_440,0.17911489307880402
F400,feature_400,0.1789068728685379
F71,feature_71,0.17863601446151733
F78,feature_78,0.17857736349105835
F724,feature_724,0.1784944385290146
F441,feature_441,0.17820198833942413
F536,feature_536,0.1780177354812622
F537,feature_537,0.1779942363500595
F40,feature_40,0.17780862748622894
F155,feature_155,0.1776665300130844
F770,feature_770,0.17747052013874054
F181,feature_181,0.17708899080753326
F339,feature_339,0.17706261575222015
F190,feature_190,0.1768140345811844
F217,feature_217,0.1764695793390274
F796,feature_796,0.17629174888134003
F469,feature_469,0.1756705790758133
F657,feature_657,0.17541863024234772
F732,feature_732,0.17503926157951355
F751,feature_751,0.17346209287643433
F368,feature_368,0.17296558618545532
F967,feature_967,0.17292633652687073
F294,feature_294,0.17269599437713623
F407,feature_407,0.17251168191432953
F815,feature_815,0.17245835065841675
F698,feature_698,0.1723642647266388
F894,feature_894,0.1721450835466385
F776,feature_776,0.1716870367527008
F128,feature_128,0.17164888978004456
F749,feature_749,0.17113324999809265
F467,feature_467,0.1711077094078064
F748,feature_748,0.1709747314453125
F347,feature_347,0.1707882583141327
F540,feature_540,0.17039349675178528
F707,feature_707,0.1703188717365265
F872,feature_872,0.1702398806810379
F421,feature_421,0.17020387947559357
F269,feature_269,0.16985857486724854
F313,feature_313,0.16985134780406952
F92,feature_92,0.1698373705148697
F318,feature_318,0.16964049637317657
F662,feature_662,0.16909977793693542
F358,feature_358,0.1688055545091629
F45,feature_45,0.16875943541526794
F850,feature_850,0.16872911155223846
F451,feature_451,0.16867339611053467
F741,feature_741,0.1685156375169754
F300,feature_300,0.16815395653247833
F241,feature_241,0.1680232733488083
F302,feature_302,0.1678963154554367
F29,feature_29,0.16769854724407196
F211,feature_211,0.1674441695213318
F372,feature_372,0.16717341542243958
F290,feature_290,0.16716286540031433
F292,feature_292,0.1668732464313507
F337,feature_337,0.16649582982063293
F513,feature_513,0.16648326814174652
F411,feature_411,0.16633015871047974
F37,feature_37,0.1662411391735077
F349,feature_349,0.1661854088306427
F316,feature_316,0.1661725491285324
F639,feature_639,0.16614915430545807
F517,feature_517,0.1660289317369461
F50,feature_50,0.1657455712556839
F477,feature_477,0.16571366786956787
F607,feature_607,0.16569921374320984
F956,feature_956,0.1653326004743576
F901,feature_901,0.1652090847492218
F280,feature_280,0.1648889183998108
F783,feature_783,0.1647169142961502
F529,feature_529,0.16464965045452118
F379,feature_379,0.1645982414484024
F935,feature_935,0.1645779013633728
F552,feature_552,0.16445188224315643
F532,feature_532,0.16425968706607819
F470,feature_470,0.16418565809726715
F362,feature_362,0.1638500690460205
F59,feature_59,0.16383413970470428
F123,feature_123,0.16331592202186584
F296,feature_296,0.16322888433933258
F276,feature_276,0.16319036483764648
F166,feature_166,0.16307322680950165
F892,feature_892,0.16273176670074463
F544,feature_544,0.162643700838089
F937,feature_937,0.1624811738729477
F141,feature_141,0.16245189309120178
F406,feature_406,0.16236324608325958
F105,feature_105,0.16229066252708435
F939,feature_939,0.16227461397647858
F743,feature_743,0.16220343112945557
F424,feature_424,0.16217346489429474
F527,feature_527,0.16180624067783356
